Rooms,Type,Price,Bathroom,Landsize,YearBuilt,Regionname,h,t,u,Eastern Metropolitan,Eastern Victoria,Northern Metropolitan,Northern Victoria,South-Eastern Metropolitan,Southern Metropolitan,Western Metropolitan,Western Victoria
2,h,1050173.344955408,1.0,126.0,1970.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
2,h,1480000.0,1.0,202.0,1970.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
2,h,1035000.0,1.0,156.0,1900.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
3,u,1050173.344955408,2.0,0.0,1970.0,Northern Metropolitan,0,0,1,0,0,1,0,0,0,0,0
3,h,1465000.0,2.0,134.0,1900.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
3,h,850000.0,2.0,94.0,1970.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
4,h,1600000.0,1.0,120.0,2014.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
4,h,1050173.344955408,2.0,400.0,2006.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
2,h,1050173.344955408,1.0,201.0,1900.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
2,h,1050173.344955408,2.0,202.0,1900.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
2,h,941000.0,1.0,181.0,1970.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
3,h,1876000.0,2.0,245.0,1910.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
2,u,1050173.344955408,2.0,4292.0,2009.0,Northern Metropolitan,0,0,1,0,0,1,0,0,0,0,0
4,h,1050173.344955408,2.0,230.0,1860.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
2,h,1636000.0,1.0,256.0,1890.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
3,h,1000000.0,2.0,521.0,1970.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
2,t,745000.0,2.0,521.0,1970.0,Northern Metropolitan,0,1,0,0,0,1,0,0,0,0,0
1,u,300000.0,1.0,0.0,1970.0,Northern Metropolitan,0,0,1,0,0,1,0,0,0,0,0
2,h,1097000.0,1.0,220.0,1900.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
2,u,542000.0,2.0,521.0,1970.0,Northern Metropolitan,0,0,1,0,0,1,0,0,0,0,0
2,h,1050173.344955408,1.0,176.0,1925.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
2,u,760000.0,2.0,521.0,1970.0,Northern Metropolitan,0,0,1,0,0,1,0,0,0,0,0
1,u,481000.0,2.0,521.0,1970.0,Northern Metropolitan,0,0,1,0,0,1,0,0,0,0,0
2,u,700000.0,2.0,0.0,1970.0,Northern Metropolitan,0,0,1,0,0,1,0,0,0,0,0
3,h,1350000.0,2.0,214.0,2005.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
2,u,750000.0,2.0,0.0,2009.0,Northern Metropolitan,0,0,1,0,0,1,0,0,0,0,0
4,h,1985000.0,2.0,521.0,1970.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
1,u,500000.0,2.0,521.0,1970.0,Northern Metropolitan,0,0,1,0,0,1,0,0,0,0,0
2,h,1172500.0,1.0,195.0,1970.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
1,u,441000.0,1.0,0.0,1970.0,Northern Metropolitan,0,0,1,0,0,1,0,0,0,0,0
2,h,1310000.0,1.0,238.0,1890.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
3,u,1050173.344955408,2.0,0.0,2010.0,Northern Metropolitan,0,0,1,0,0,1,0,0,0,0,0
3,h,1200000.0,2.0,113.0,1880.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
2,t,847000.0,2.0,521.0,1970.0,Northern Metropolitan,0,1,0,0,0,1,0,0,0,0,0
2,h,1050173.344955408,2.0,521.0,1970.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
3,h,1176500.0,1.0,138.0,1890.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
3,h,955000.0,1.0,183.0,1970.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
2,h,890000.0,1.0,150.0,1985.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
4,h,1330000.0,2.0,780.0,1900.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
3,h,1050173.344955408,2.0,119.0,2005.0,Northern Metropolitan,1,0,0,0,0,1,0,0,0,0,0
3,t,900000.0,2.0,0.0,2010.0,Northern Metropolitan,0,1,0,0,0,1,0,0,0,0,0
3,u,1090000.0,2.0,4290.0,1970.0,Northern Metropolitan,0,0,1,0,0,1,0,0,0,0,0
2,u,500000.0,1.0,0.0,1970.0,Northern Metropolitan,0,0,1,0,0,1,0,0,0,0,0
