title,genres,year
Toy Story,Adventure/Animation,1995
Jumanji,Adventure/Children,1995
Grumpier Old Men,Comedy/Romance,1995
Waiting To Exhale,Comedy/Drama,1995
Father Of The Bride Part Ii,Comedy,1995
Heat,Action/Crime,1995
Sabrina,Comedy/Romance,1995
Tom And Huck,Adventure/Children,1995
Sudden Death,Action,1995
Goldeneye,Action/Adventure,1995
"American President, The",Comedy/Drama,1995
Dracula: Dead And Loving It,Comedy/Horror,1995
Balto,Adventure/Animation,1995
Nixon,Drama,1995
Cutthroat Island,Action/Adventure,1995
Casino,Crime/Drama,1995
Sense And Sensibility,Drama/Romance,1995
Four Rooms,Comedy,1995
Ace Ventura: When Nature Calls,Comedy,1995
Money Train,Action/Comedy,1995
Get Shorty,Comedy/Crime,1995
Copycat,Crime/Drama,1995
Assassins,Action/Crime,1995
Powder,Drama/Sci-Fi,1995
Leaving Las Vegas,Drama/Romance,1995
Othello,Drama,1995
Now And Then,Children/Drama,1995
Persuasion,Drama/Romance,1995
Dangerous Minds,Drama,1995
Wings Of Courage,Adventure/Romance,1995
Babe,Children/Drama,1995
Carrington,Drama/Romance,1995
Dead Man Walking,Crime/Drama,1995
Across The Sea Of Time,Documentary/IMAX,1995
It Takes Two,Children/Comedy,1995
Clueless,Comedy/Romance,1995
"Cry, The Beloved Country",Drama,1995
Richard Iii,Drama/War,1995
Dead Presidents,Action/Crime,1995
Restoration,Drama,1995
Mortal Kombat,Action/Adventure,1995
To Die For,Comedy/Drama,1995
How To Make An American Quilt,Drama/Romance,1995
Pocahontas,Animation/Children,1995
When Night Is Falling,Drama/Romance,1995
"Usual Suspects, The",Crime/Mystery,1995
Guardian Angel,Action/Drama,1994
Mighty Aphrodite,Comedy/Drama,1995
Lamerica,Adventure/Drama,1994
"Big Green, The",Children/Comedy,1995
Georgia,Drama,1995
Kids Of The Round Table,Adventure/Children,1995
Home For The Holidays,Drama,1995
"Indian In The Cupboard, The",Adventure/Children,1995
Eye For An Eye,Drama/Thriller,1996
Mr. Holland'S Opus,Drama,1995
Don'T Be A Menace To South Central While Drinking Your Juice In The Hood,Comedy/Crime,1996
Two If By Sea,Comedy/Romance,1996
Bio-Dome,Comedy,1996
Lawnmower Man 2: Beyond Cyberspace,Action/Sci-Fi,1996
Two Bits,Drama,1995
Friday,Comedy,1995
From Dusk Till Dawn,Action/Comedy,1996
Fair Game,Action,1995
Kicking And Screaming,Comedy/Drama,1995
"Misérables, Les",Drama/War,1995
Bed Of Roses,Drama/Romance,1996
Big Bully,Comedy/Drama,1996
Screamers,Action/Sci-Fi,1995
Nico Icon,Documentary,1995
"Crossing Guard, The",Action/Crime,1995
"Juror, The",Drama/Thriller,1996
Things To Do In Denver When You'Re Dead,Crime/Drama,1995
Once Upon A Time... When We Were Colored,Drama/Romance,1995
Last Summer In The Hamptons,Comedy/Drama,1995
Angels And Insects,Drama/Romance,1995
White Squall,Action/Adventure,1996
Dunston Checks In,Children/Comedy,1996
Black Sheep,Comedy,1996
Nick Of Time,Action/Thriller,1995
"Journey Of August King, The",Drama,1995
Mary Reilly,Drama/Horror,1996
Vampire In Brooklyn,Comedy/Horror,1995
Beautiful Girls,Comedy/Drama,1996
Broken Arrow,Action/Adventure,1996
In The Bleak Midwinter,Comedy/Drama,1995
Shopping,Action/Thriller,1994
Heidi Fleiss: Hollywood Madam,Documentary,1995
City Hall,Drama/Thriller,1996
Bottle Rocket,Adventure/Comedy,1996
Mr. Wrong,Comedy,1996
Unforgettable,Mystery/Sci-Fi,1996
Happy Gilmore,Comedy,1996
"Bridges Of Madison County, The",Drama/Romance,1995
Muppet Treasure Island,Adventure/Children,1996
Catwalk,Documentary,1996
Headless Body In Topless Bar,Comedy/Drama,1995
Braveheart,Action/Drama,1995
Taxi Driver,Crime/Drama,1976
Before And After,Drama/Mystery,1996
Margaret'S Museum,Drama,1995
Anne Frank Remembered,Documentary,1995
"Young Poisoner'S Handbook, The",Crime/Drama,1995
If Lucy Fell,Comedy/Romance,1996
"Steal Big, Steal Little",Comedy,1995
Race The Sun,Adventure/Comedy,1996
"Boys Of St. Vincent, The",Drama,1992
Boomerang,Comedy/Romance,1992
Flirting With Disaster,Comedy,1996
"Neverending Story Iii, The",Adventure/Children,1994
Jupiter'S Wife,Documentary,1994
Pie In The Sky,Comedy/Romance,1996
Angela,Drama,1995
Frankie Starlight,Drama/Romance,1995
Jade,Thriller,1995
Nueba Yol,Comedy/Drama,1995
Sonic Outlaws,Documentary,1995
Down Periscope,Comedy,1996
From The Journals Of Jean Seberg,Documentary,1995
Man Of The Year,Documentary,1995
"Neon Bible, The",Drama,1995
Target,Action/Drama,1995
Up Close And Personal,Drama/Romance,1996
"Birdcage, The",Comedy,1996
Gospa,Drama,1995
"Brothers Mcmullen, The",Comedy,1995
Bad Boys,Action/Comedy,1995
"Amazing Panda Adventure, The",Adventure/Children,1995
"Basketball Diaries, The",Drama,1995
"Awfully Big Adventure, An",Drama,1995
Amateur,Crime/Drama,1994
Apollo 13,Adventure/Drama,1995
Rob Roy,Action/Drama,1995
"Addiction, The",Drama/Horror,1995
Batman Forever,Action/Adventure,1995
Beyond Rangoon,Adventure/Drama,1995
Blue In The Face,Comedy/Drama,1995
Canadian Bacon,Comedy/War,1995
Casper,Adventure/Children,1995
Clockers,Crime/Drama,1995
Congo,Action/Adventure,1995
Crimson Tide,Drama/Thriller,1995
Crumb,Documentary,1994
Desperado,Action/Romance,1995
Devil In A Blue Dress,Crime/Film-Noir,1995
Die Hard: With A Vengeance,Action/Crime,1995
"Doom Generation, The",Comedy/Crime,1995
Feast Of July,Drama,1995
First Knight,Action/Drama,1995
Free Willy 2: The Adventure Home,Adventure/Children,1995
Hackers,Action/Adventure,1995
Jeffrey,Comedy/Drama,1995
Johnny Mnemonic,Action/Sci-Fi,1995
Judge Dredd,Action/Crime,1995
Jury Duty,Comedy,1995
Kids,Drama,1995
Living In Oblivion,Comedy,1995
Lord Of Illusions,Horror,1995
Love & Human Remains,Comedy/Drama,1993
Mad Love,Drama/Romance,1995
Mallrats,Comedy/Romance,1995
Mighty Morphin Power Rangers: The Movie,Action/Children,1995
Moonlight And Valentino,Drama/Romance,1995
Mute Witness,Comedy/Horror,1994
Nadja,Drama,1994
"Net, The",Action/Crime,1995
Nine Months,Comedy/Romance,1995
Party Girl,Comedy,1995
"Prophecy, The",Fantasy/Horror,1995
Reckless,Comedy/Fantasy,1995
Safe,Thriller,1995
"Scarlet Letter, The",Drama/Romance,1995
The Show,Documentary,1995
Showgirls,Drama,1995
Smoke,Comedy/Drama,1995
Something To Talk About,Comedy/Drama,1995
Species,Horror/Sci-Fi,1995
"Stars Fell On Henrietta, The",Drama,1995
Strange Days,Action/Crime,1995
"Tie That Binds, The",Thriller,1995
Three Wishes,Drama/Fantasy,1995
Total Eclipse,Drama/Romance,1995
"To Wong Foo, Thanks For Everything! Julie Newmar",Comedy,1995
Under Siege 2: Dark Territory,Action,1995
Unstrung Heroes,Comedy/Drama,1995
Unzipped,Documentary,1995
"Walk In The Clouds, A",Drama/Romance,1995
Waterworld,Action/Adventure,1995
White Man'S Burden,Drama,1995
Wild Bill,Western,1995
"Browning Version, The",Drama,1994
Bushwhacked,Adventure/Comedy,1995
Before Sunrise,Drama/Romance,1995
Billy Madison,Comedy,1995
"Babysitter, The",Drama/Thriller,1995
Boys On The Side,Comedy/Drama,1995
"Cure, The",Drama,1995
Castle Freak,Horror,1995
Circle Of Friends,Drama/Romance,1995
Clerks,Comedy,1994
Don Juan Demarco,Comedy/Drama,1995
Disclosure,Drama/Thriller,1994
Dream Man,Thriller,1995
Drop Zone,Action/Thriller,1994
Destiny Turns On The Radio,Comedy,1995
Death And The Maiden,Drama/Thriller,1994
Dolores Claiborne,Drama/Thriller,1995
Exotica,Drama,1994
Exit To Eden,Comedy,1994
Ed Wood,Comedy/Drama,1994
French Kiss,Action/Comedy,1995
Forget Paris,Comedy/Romance,1995
Far From Home: The Adventures Of Yellow Dog,Adventure/Children,1995
"Goofy Movie, A",Animation/Children,1995
Hideaway,Thriller,1995
Fluke,Children/Drama,1995
Farinelli: Il Castrato,Drama/Musical,1994
Gordy,Children/Comedy,1995
Gumby: The Movie,Animation/Children,1995
The Glass Shield,Crime/Drama,1994
Hoop Dreams,Documentary,1994
