id,zipcode,sqft,bedrooms,bathrooms,floors,year_built,lot_size,garage_spaces,has_pool,has_fireplace,condition,heating_type,hoa_fee,days_on_market,walk_score,crime_rate,price,price_per_sqft,age,is_new
1,75010,1896,4,2.6,1,1960,8900,1,0,0,1,None,0.0,158,55.6,33.1,769063,405.62,65,0
2,75002,2714,2,1.7,2,1985,8338,1,0,1,3,Solar,0.0,35,63.6,16.8,790963,291.44,40,0
3,75002,2730,3,2.8,1,1985,8317,2,0,1,5,Gas,0.0,12,64.8,41.2,772818,283.08,40,0
4,75009,2118,5,2.5,1,1994,8281,2,0,1,4,Electric,0.0,170,61.4,83.3,504298,238.1,31,0
5,75010,1302,3,2.4,2,2001,2607,1,1,0,4,Solar,0.0,93,58.2,52.7,598704,459.83,24,0
6,75007,2548,5,1.5,1,2014,3434,2,0,0,2,Gas,0.0,163,68.9,30.8,715004,280.61,11,0
7,75013,1416,4,1.9,2,1967,1904,0,0,0,3,Electric,0.0,5,48.7,29.5,612252,432.38,58,0
8,75010,1918,5,2.0,1,1955,11968,2,0,0,5,Solar,0.0,131,80.3,62.6,801852,418.07,70,0
9,75007,2568,1,1.0,2,2000,8495,2,0,0,4,Gas,0.0,17,57.0,31.4,686406,267.29,25,0
10,75006,2655,6,2.3,1,2023,6185,2,0,0,5,Gas,710.82,62,46.0,17.3,910013,342.75,2,1
11,75006,1791,2,2.4,1,1977,2893,3,0,0,3,None,0.0,103,59.8,64.3,555091,309.93,48,0
12,75010,2376,4,1.9,1,1986,924,1,0,0,2,Gas,0.0,178,71.0,33.0,725481,305.34,39,0
13,75007,1074,7,2.7,2,2021,8498,1,0,1,4,Electric,0.0,47,65.2,25.5,436648,406.56,4,1
14,75001,1717,4,3.9,2,1981,11590,1,0,1,4,Electric,0.0,83,76.6,42.1,696280,405.52,44,0
15,75006,2881,6,1.8,2,1986,6540,1,1,0,5,Solar,0.0,75,68.4,22.6,951634,330.31,39,0
16,75010,2806,5,2.6,1,1991,6217,1,0,0,3,Gas,0.0,51,58.7,54.7,1034168,368.56,34,0
17,75002,2402,3,1.7,2,2024,7223,2,0,1,4,Electric,0.0,83,50.7,38.4,828674,344.99,1,1
18,75002,1915,6,1.1,1,2013,10873,0,0,0,3,Gas,0.0,18,56.9,60.6,663736,346.6,12,0
19,75009,2508,2,2.2,1,1970,4181,1,1,0,1,Solar,0.0,162,38.8,23.6,603572,240.66,55,0
20,75009,1986,7,2.8,2,1994,13307,1,0,0,4,Gas,0.0,174,63.1,27.3,583441,293.78,31,0
21,75009,2101,6,4.5,2,1950,8065,2,0,1,5,Gas,100.59,179,18.8,59.1,525745,250.24,75,0
22,75010,2053,5,1.8,1,1963,1208,2,0,1,2,Electric,0.0,98,72.9,52.8,835003,406.72,62,0
